model,sample_id,task,category,context_length,generation_seed,fp16_success,aggressive_success,fp16_valid,aggressive_valid
qwen25_3b,qwen25_3b:niah_multikey_1:8192:031:3189,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:032:6484,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:033:25206,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:034:11666,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:035:5860,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:036:27343,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:037:32110,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:038:24706,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:039:5162,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:040:36150,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:041:187,niah_multikey_1,Retrieval,8192,20260822,1,1,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:042:20905,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:043:13163,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:044:29764,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:045:26186,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:046:25129,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:047:13980,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:048:16156,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:049:36147,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:vt:4096:000:0,vt,Multi-hop Tracing,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:vt:4096:001:1,vt,Multi-hop Tracing,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:vt:4096:002:2,vt,Multi-hop Tracing,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:vt:4096:003:3,vt,Multi-hop Tracing,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:vt:4096:004:4,vt,Multi-hop Tracing,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:vt:4096:005:5,vt,Multi-hop Tracing,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:vt:4096:006:6,vt,Multi-hop Tracing,4096,20260822,0,0,1,1
